ip_address,status,mqtt
218.235.40.62,,gagal
218.234.11.80,,gagal
218.235.130.9,,gagal
218.235.95.9,,
218.235.171.231,,
218.234.5.175,,
218.234.86.34,,
218.234.192.164,,
218.235.136.108,,
218.235.218.51,,
218.234.203.118,,
218.235.65.73,,
218.235.254.15,,
218.234.254.53,,
218.234.162.97,,
218.234.66.112,,
218.234.182.54,,
218.235.180.248,,
218.235.171.75,,
218.235.229.223,,
218.234.40.52,,
218.234.31.61,,
218.235.137.181,,
218.234.21.68,,
218.235.216.132,,
218.235.7.238,,
218.234.202.244,,
218.234.40.219,,
218.234.183.93,,
218.234.133.216,,
218.234.9.97,,
218.234.184.252,,
218.234.92.88,,
218.234.159.108,,
218.234.35.2,,
218.235.141.140,,
218.234.178.134,,
218.235.210.242,,
218.234.160.90,,
218.235.97.3,,
218.235.68.57,,
218.235.149.171,,
218.235.34.230,,
218.234.92.123,,
218.235.121.86,,
218.234.254.188,,
218.235.35.241,,
218.235.225.230,,
218.235.201.84,,
218.235.91.62,,
218.235.146.120,,
218.234.65.141,,
218.234.33.238,,
218.235.116.178,,
218.235.116.144,,
218.234.250.110,,
218.234.173.48,,
218.235.29.6,,
218.235.212.187,,
218.234.200.202,,
218.234.96.93,,
218.235.217.172,,
218.235.202.102,,
218.235.201.60,,
218.234.6.7,,
218.234.39.104,,
218.235.82.244,,
218.235.93.200,,
218.234.77.108,,
218.234.144.127,,
218.234.77.61,,
218.235.85.179,,
218.235.114.49,,
218.234.65.201,,
218.234.76.165,,
218.234.115.66,,
218.234.229.112,,
218.234.25.63,,
218.234.10.196,,
218.234.20.121,,
218.234.117.237,,
218.235.201.10,,
218.234.163.93,,
218.235.166.33,,
218.234.147.253,,
218.235.231.96,,
218.235.68.238,,
218.234.2.26,,
218.235.207.51,,
218.234.190.24,,
218.234.65.229,,
218.235.133.32,,
218.234.56.227,,
218.234.155.102,,
218.235.95.82,,
218.235.171.147,,
218.234.104.39,,
218.234.25.211,,
218.234.235.255,,
218.234.102.190,,
218.234.127.56,,
218.234.114.208,,
218.234.116.104,,
218.234.126.199,,
218.234.181.39,,
218.234.169.153,,
218.234.122.119,,
218.235.141.220,,
218.235.227.213,,
218.234.194.202,,
218.235.247.41,,
218.235.192.56,,
218.234.50.34,,
218.235.194.63,,
218.235.66.69,,
218.234.83.157,,
218.235.45.1,,
218.234.229.218,,
218.235.83.36,,
218.235.62.244,,
218.234.145.148,,
218.235.111.94,,
218.234.185.247,,
218.234.225.159,,
218.234.138.119,,
218.234.142.239,,
218.234.9.36,,
218.234.7.121,,
218.234.68.97,,
218.235.63.29,,
218.234.81.117,,
218.235.253.132,,
218.234.190.157,,
218.234.176.120,,
218.234.8.11,,
218.234.4.143,,
218.235.81.62,,
218.234.70.70,,
218.234.17.30,,
218.234.167.186,,
218.235.216.213,,
218.234.142.1,,
218.235.100.44,,
218.234.68.247,,
218.235.130.137,,
218.234.200.0,,
218.235.201.213,,
218.234.152.114,,
218.234.60.235,,
218.234.95.181,,
218.235.123.42,,
218.234.135.73,,
218.235.36.141,,
218.235.170.179,,
218.235.87.233,,
218.234.158.197,,
218.235.211.130,,
218.234.185.99,,
218.235.83.39,,
218.235.219.217,,
218.234.239.77,,
218.234.135.135,,
218.235.88.184,,
218.235.209.190,,
218.234.245.217,,
218.235.186.64,,
218.234.113.148,,
218.234.100.138,,
218.235.161.33,,
218.235.109.245,,
218.235.175.72,,
218.234.89.63,,
218.235.94.92,,
218.235.202.51,,
218.234.175.246,,
218.235.79.136,,
218.234.130.245,,
218.235.30.66,,
218.235.207.29,,
218.234.86.130,,
218.234.43.152,,
218.234.234.96,,
218.234.11.221,,
218.234.55.24,,
218.235.81.123,,
